domain,r_sb,n,parts,yi,vi
ADHD,0.473855,62,2,0.6421784388339126,0.06666666666666667
Body image,0.361895,23,2,0.44925243237611573,0.19047619047619047
Clinton-Trump,0.430105,98,2,0.5623031456486999,0.041666666666666664
Countries (1),0.554935,55,2,0.8095349400669727,0.07547169811320754
Countries (2),0.65528,50,2,1.0650227856745544,0.08333333333333333
Countries (3),0.625305,31,2,0.9816429172800676,0.13793103448275862
Countries (4),0.55275,18,2,0.8046375565933084,0.25
Death (1),0.53823,18,2,0.7726883473594683,0.25
Death (2),0.57886,21,2,0.864789959011752,0.21052631578947367
Death (3),0.352955,26,2,0.4353394351224149,0.16666666666666666
Digust,0.65657,85,2,1.0687719726572267,0.04819277108433735
Friend-Enemy,0.429935,100,2,0.5620048895673282,0.04081632653061224
Gender (1),0.183525,41,2,0.20275898553394292,0.10256410256410256
Gender (2),0.42533,97,2,0.5539593159793939,0.042105263157894736
Hunger,0.236985,11,2,0.2704775886510776,0.4444444444444444
Lincoln-Hitler,0.493795,134,2,0.6808135534011284,0.030303030303030304
Personality - Agreeableness,0.515665,39,2,0.7249784629296562,0.10810810810810811
Personality - Conscientiousness,0.588585,39,2,0.8881528415626236,0.10810810810810811
Personality - Extraversion,0.530765,33,2,0.756651569929476,0.12903225806451613
Personality - Neuroticism,0.604985,32,2,0.9288315401184909,0.13333333333333333
Personality - Openness,0.61208,35,2,0.9469561461850401,0.12121212121212122
PTSD,0.602465,54,2,0.9224722984494865,0.07692307692307693
Race (1),0.497655,45,2,0.6884681443432139,0.09302325581395349
Race (2),0.278305,35,2,0.32615266701437134,0.12121212121212122
Race (3),0.63566,36,2,1.0096677813794541,0.11764705882352941
Religion,0.51842,31,2,0.7306829140890496,0.13793103448275862
Rich-Poor,0.414115,84,2,0.5346317543976266,0.04878048780487805
Schizophrenia,0.353495,54,2,0.43617434684808226,0.07692307692307693
Sexuality,0.9311,19,2,2.675099100962525,0.23529411764705882
Shapes & colors (1),0.16712,11,2,0.18286570481563952,0.4444444444444444
Shapes & colors (2),0.579975,11,2,0.8674410456666709,0.4444444444444444
Shapes & colors (3),0.6564,10,2,1.0682770888720368,0.5
Shapes & colors (4),0.617715,7,2,0.9615888752514655,0.8
Shapes & colors (5),0.71407,22,2,1.2520082533644927,0.2
Shapes & colors (6),0.15659,26,2,0.17030208096975272,0.16666666666666666
Shapes & colors (7),0.59259,14,2,0.8979352295898426,0.3333333333333333
Valenced words,0.719575,39,2,1.2714489694508497,0.10810810810810811
